#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-23T23:24:39 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-23T23:24:39	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/A+A/655/A99&tab:{J/A+A/655/A99/table}&key:source=J/A+A/655/A99&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/655/A99/table
#-order=I
#-out=Star
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=S/N
#-out=[C/Fe]
#-out=e_[C/Fe]
#-out=[O1/Fe]
#-out=e_[O1/Fe]
#-out=[O2/Fe]
#-out=e_[O2/Fe]
#-out=[C/O1]
#-out=[C/O2]
#-out=planet
#-out=pop
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=9999	

#RESOURCE=yCat_36550099
#Name: J/A+A/655/A99
#Title: Chemical abundances of 762 FGK stars (Delgado Mena+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/655/a99	
#INFO	publisher=CDS	
#INFO	creator=Delgado Mena E.	
#INFO	related_resource=bibcode:2021A&A...655A..99D	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/655/A99	
#INFO	publication_id=doi:10.26093/cds/vizier.36550099	
#INFO	publication_date=2022-09-21	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_655_A99_table:
#Name: J/A+A/655/A99/table
#Title: Abundance ratios, errors, planet presence
#Column	Star	(a10)	Star's identifier	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	Effective Temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	Iron abundance	[ucd=phys.abund.Fe]
#Column	S/N	(I4)	Signal to noise ratio	[ucd=stat.snr]
#Column	[C/Fe]	(F6.3)	? Abundance [C/Fe]	[ucd=phys.abund]
#Column	e_[C/Fe]	(F6.3)	? Error of [C/Fe]	[ucd=stat.error;phys.abund]
#Column	[O1/Fe]	(F6.3)	? Abundance [O/Fe] from 6158{AA} line	[ucd=phys.abund]
#Column	e_[O1/Fe]	(F6.3)	? Error of [O/Fe] from 6158{AA} line	[ucd=stat.error;phys.abund]
#Column	[O2/Fe]	(F6.3)	? Abundance [O/Fe] from 6300{AA} line	[ucd=phys.abund]
#Column	e_[O2/Fe]	(F6.3)	? Error of [O/Fe] from 6300{AA} line	[ucd=stat.error;phys.abund]
#Column	[C/O1]	(F6.3)	? Ratio [C/O] using 6158{AA} line	[ucd=phys.abund]
#Column	[C/O2]	(F6.3)	? Ratio [C/O] using 6300{AA} line	[ucd=phys.abund]
#Column	planet	(A4)	Type of the most massive planet present (jup, nept or non)	[ucd=src.class]
#Column	pop	(A5)	Galactic population (thick, thin, halo or hamr)	[ucd=meta.code]
#Column	SimbadName	(a10)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star	Teff	logg	[Fe/H]	S/N	[C/Fe]	e_[C/Fe]	[O1/Fe]	e_[O1/Fe]	[O2/Fe]	e_[O2/Fe]	[C/O1]	[C/O2]	planet	pop	SimbadName	_RA	_DE
HD212301  	6271	 4.36	 0.18	 309	-0.141	 0.017	-0.001	 0.047	-0.031	 0.113	-0.140	-0.110	jup 	thin 	HD212301  	336.87884	-77.71792
HD95456   	6276	 4.16	 0.16	2014	-0.126	 0.018	 0.005	 0.014	-0.071	 0.023	-0.131	-0.055	non 	thin 	HD95456   	165.16993	-31.83937
HD101612  	6281	 4.22	-0.36	 111	-0.050	 0.033	 0.195	 0.198	      	      	-0.245	      	non 	thin 	HD101612  	175.34366	-26.66719
HD215625  	6282	 4.39	 0.10	 154	-0.101	 0.037	 0.012	 0.096	 0.113	 0.172	-0.113	-0.214	non 	thin 	HD215625  	341.70939	-20.79056
HD220894  	6282	 4.41	 0.02	 249	-0.095	 0.042	-0.009	 0.074	 0.190	 0.113	-0.086	-0.285	non 	thin 	HD220894  	351.90621	-33.62803
HD141597  	6285	 4.18	-0.40	 109	 0.133	 0.031	 0.377	 0.166	 0.228	 0.321	-0.244	-0.095	non 	thick	HD141597  	237.66604	-23.25819
HD179949  	6287	 4.34	 0.21	 536	-0.121	 0.039	-0.036	 0.028	-0.032	 0.067	-0.085	-0.089	jup 	thin 	HD179949  	288.88846	-24.17935
HD214094  	6288	 4.08	-0.01	 332	-0.095	 0.027	 0.011	 0.051	      	      	-0.106	      	non 	thin 	HD214094  	339.17764	-43.47097
HD19994   	6289	 4.28	 0.24	2001	 0.001	 0.028	-0.039	 0.013	-0.055	 0.022	 0.040	 0.056	jup 	thin 	HD19994   	048.19349	-01.19610
HD14745   	6290	 4.52	-0.14	 174	-0.081	 0.031	 0.078	 0.123	-0.039	 0.306	-0.159	-0.042	non 	thin 	HD14745   	035.22455	-52.96379
HD95922   	6293	 4.43	-0.06	 103	-0.186	 0.044	      	      	 0.084	 0.311	      	-0.270	non 	thin 	HD95922   	166.00612	-00.03102
HD203335  	6306	 4.36	-0.04	 147	-0.109	 0.054	-0.143	 0.153	 0.088	 0.225	 0.034	-0.197	non 	thin 	HD203335  	320.91650	-55.54302
HD192865  	6307	 4.24	 0.13	 188	-0.094	 0.039	 0.000	 0.073	 0.038	 0.140	-0.094	-0.132	non 	thin 	HD192865  	305.39861	-67.31284
HD5388    	6311	 4.03	-0.28	 737	-0.030	 0.018	 0.107	 0.037	 0.305	 0.040	-0.137	-0.335	jup 	thin 	HD5388    	013.79954	-47.40597
HD115773  	6312	 4.02	-0.08	 237	-0.080	 0.023	 0.015	 0.070	 0.081	 0.123	-0.095	-0.161	non 	thin 	HD115773  	199.99290	-41.19066
HD160089  	6312	 4.57	 0.11	  95	-0.009	 0.040	 0.016	 0.145	      	      	-0.025	      	non 	thin 	HD160089  	264.77484	-26.93756
HD89839   	6314	 4.28	 0.04	 331	-0.128	 0.022	-0.014	 0.056	 0.076	 0.098	-0.114	-0.204	jup 	thin 	HD89839   	155.16893	-53.66409
HD68287   	6318	 4.42	 0.06	 140	-0.067	 0.033	-0.151	 0.131	 0.068	 0.221	 0.084	-0.135	non 	thin 	HD68287   	122.89020	-06.01578
HD119949  	6359	 4.24	-0.41	 272	-0.012	 0.022	 0.078	 0.110	 0.174	 0.193	-0.090	-0.186	non 	thin 	HD119949  	206.69021	-20.85256
HD221638  	6360	 4.30	-0.21	 262	-0.063	 0.033	 0.042	 0.083	 0.067	 0.180	-0.105	-0.130	non 	thin 	HD221638  	353.64407	-70.96312
HD169830  	6361	 3.98	 0.18	1767	-0.126	 0.014	 0.005	 0.012	 0.042	 0.032	-0.131	-0.168	jup 	thin 	HD169830  	276.95619	-29.81686
HD52449   	6362	 4.32	 0.12	 149	-0.146	 0.023	-0.061	 0.098	-0.033	 0.214	-0.085	-0.113	non 	thin 	HD52449   	103.31850	-74.72519
HD205294  	6370	 4.07	-0.25	 480	-0.036	 0.020	 0.078	 0.042	 0.184	 0.077	-0.114	-0.220	non 	thin 	HD205294  	323.80705	-34.32971
HD40483   	6371	 4.16	-0.06	 169	-0.064	 0.030	 0.033	 0.090	 0.234	 0.137	-0.097	-0.298	non 	thin 	HD40483   	089.22901	-44.00897
HD144589  	6372	 4.05	-0.05	 249	-0.026	 0.025	 0.019	 0.062	      	      	-0.045	      	non 	thin 	HD144589  	241.91174	-29.96247
HD221287  	6374	 4.39	 0.04	 381	-0.183	 0.019	-0.085	 0.048	 0.161	 0.084	-0.098	-0.344	jup 	thin 	HD221287  	352.83474	-58.20973
HD33081   	6399	 4.32	-0.16	 111	 0.112	 0.050	 0.196	 0.125	      	      	-0.084	      	non 	thin 	HD33081   	076.78612	-17.29992
HD142     	6403	 4.37	 0.09	 757	 0.013	 0.036	 0.027	 0.023	 0.020	 0.054	-0.014	-0.007	jup 	thin 	HD142     	001.57990	-49.07519
HD130989  	6414	 4.02	-0.23	 228	-0.008	 0.042	 0.054	 0.081	 0.194	 0.145	-0.062	-0.202	non 	thin 	HD130989  	222.89565	-17.79037
HD149200  	6416	 4.39	 0.15	 166	-0.193	 0.045	-0.066	 0.081	-0.059	 0.211	-0.127	-0.134	non 	thin 	HD149200  	248.34742	-04.26198
HD135468  	6417	 4.00	-0.02	 322	-0.208	 0.038	-0.060	 0.052	 0.156	 0.079	-0.148	-0.364	non 	thin 	HD135468  	229.22902	-46.20236
HD112283  	6433	 4.58	-0.13	 115	-0.093	 0.069	      	      	 0.208	 0.301	      	-0.301	non 	thin 	HD112283  	193.92049	-03.55066
HD163102  	6433	 4.38	 0.00	 122	-0.066	 0.043	-0.100	 0.131	 0.027	 0.282	 0.034	-0.093	non 	thin 	HD163102  	268.62429	-03.46246
HD8985    	6473	 4.69	-0.01	  70	-0.095	 0.039	      	      	      	      	      	      	non 	thin 	HD8985    	022.03046	-28.05125
HD156098  	6517	 3.91	 0.18	 510	-0.208	 0.024	-0.011	 0.026	 0.065	 0.047	-0.197	-0.273	non 	thin 	HD156098  	259.26519	-32.66284
HD143790  	6557	 3.80	-0.06	 457	-0.152	 0.025	 0.022	 0.031	 0.173	 0.052	-0.174	-0.325	non 	thin 	HD143790  	240.89316	-32.00053
HD205591  	6575	 4.43	-0.08	 311	-0.088	 0.029	 0.027	 0.046	      	      	-0.115	      	non 	thin 	HD205591  	324.42991	-45.58590
HD3229    	6583	 3.82	-0.09	 155	-0.199	 0.044	-0.065	 0.081	 0.046	 0.199	-0.134	-0.245	non 	thin 	HD3229    	008.88681	-00.50561
HD28807   	6602	 4.34	 0.06	  86	-0.190	 0.038	-0.078	 0.132	 0.199	 0.270	-0.112	-0.389	non 	thin 	HD28807   	067.98745	-12.63264
HD196384  	6611	 4.46	-0.13	  94	-0.111	 0.044	 0.055	 0.141	 0.013	 0.467	-0.166	-0.124	non 	thin 	HD196384  	309.43101	-22.44286
HD151772  	6631	 4.47	-0.36	 198	-0.048	 0.047	 0.125	 0.092	 0.365	 0.218	-0.173	-0.413	non 	thin 	HD151772  	252.97001	-49.11505
HD66740   	6666	 4.13	 0.04	 150	-0.145	 0.024	-0.091	 0.076	 0.089	 0.195	-0.054	-0.234	non 	thin 	HD66740   	121.00545	-26.97332
HD141128  	6758	 4.28	 0.07	  92	-0.122	 0.026	-0.006	 0.099	      	      	-0.116	      	non 	thin 	HD141128  	236.90875	-09.48044
CD-2310879	6788	 4.26	-0.24	 421	-0.136	 0.020	      	      	      	      	      	      	non 	thin 	CD-2310879	195.86471	-24.42003
HD20852   	6813	 4.34	-0.35	 493	-0.107	 0.040	 0.124	 0.032	 0.045	 0.205	-0.231	-0.152	non 	thin 	HD20852   	050.18577	-26.28780
HD38385   	7212	 4.02	 0.09	 268	-0.306	 0.041	-0.184	 0.032	-0.438	 0.388	-0.122	 0.132	non 	thin 	HD38385   	085.87577	-39.40691

